,artist,album,track_name,popularity,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27,Ali Gatie,YOU,It's You,79,5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,11,-6.972,0,0.0287,0.0,0.194,0.397,95.971,212607,4
28,Duncan Laurence,Arcade,Arcade,79,1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9,-12.603,0,0.0441,0.00109,0.135,0.266,71.884,183624,3
29,Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,79,1TQXIltqoZ5XXyfCbAeSQQ,0.629,0.328,11,-8.284,1,0.029,2.5e-05,0.103,0.389,74.953,197732,4
30,Dean Lewis,Be Alright,Be Alright,79,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.0,0.0813,0.443,126.684,196373,4
31,SLANDER,Love Is Gone (Acoustic),Love Is Gone - Acoustic,79,7F1CiKqrY44kh5cDqwHOnx,0.541,0.153,6,-10.654,1,0.0303,1.66e-06,0.16,0.359,139.644,176972,4
32,Adele,21,Someone Like You,80,3bNv3VuUOKgrf5hu3YcuRo,0.556,0.319,9,-8.251,1,0.0281,0.0,0.0996,0.294,135.187,285240,4
33,Olivia Rodrigo,SOUR,"1 step forward, 3 steps back",78,4wcBRRpIfesgcyUtis7PEg,0.473,0.203,2,-12.627,1,0.102,0.0,0.126,0.419,168.884,163587,4
34,Lord Huron,Strange Trails,The Night We Met,83,3hRV0jL3vUpRrcy398teAU,0.544,0.369,2,-9.514,1,0.038,0.279,0.639,0.102,87.01,208212,3
35,JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),77,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0.0,0.109,0.604,75.801,208687,4
36,gnash,us,"i hate u, i love u (feat. olivia o'brien)",77,7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.0,0.101,0.18,92.6,251034,4
37,James Arthur,James Arthur (Deluxe),Impossible,77,5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.0,0.11,0.302,169.533,209440,4
38,Dean Lewis,A Place We Knew,Half A Man,79,1ugQtcwmKOXvKAYzhjncmv,0.507,0.204,0,-11.575,1,0.0504,0.0,0.143,0.343,77.765,179120,4
39,Fleetwood Mac,Fleetwood Mac,Landslide,77,5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.000223,0.117,0.423,159.375,199493,4
40,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],Dusk Till Dawn (feat. Sia) - Radio Edit,76,1j4kHkkpqZRBwE0A4CN4Yv,0.259,0.437,11,-6.589,0,0.0386,1.32e-06,0.106,0.0951,180.042,239000,4
41,Labrinth,Jealous - EP,Jealous,76,4G92yYrUs0cvY7G41YRI0z,0.439,0.153,1,-8.95,1,0.0479,0.0,0.107,0.104,116.76,287693,3
42,Billie Eilish,Happier Than Ever,Your Power,76,042Sl6Mn83JHyLEqdK7uI0,0.632,0.284,9,-14.025,0,0.0801,0.000476,0.233,0.208,129.642,245897,4
43,3 Doors Down,Away From The Sun,Here Without You,75,3NLrRZoMF0Lx6zTlYqeIo4,0.557,0.533,10,-6.817,0,0.0252,0.0,0.205,0.233,143.994,238733,4
44,Alex & Sierra,It's About Us,Little Do You Know,75,1almCHdsfikRPfVB9VrEdT,0.5,0.292,0,-8.554,1,0.0323,0.0,0.188,0.37,145.879,185200,4
45,Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,82,1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,5,-8.237,1,0.0432,0.0,0.169,0.476,91.873,201000,4
46,Dylan Conrique,Birthday Cake,Birthday Cake,74,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,1,0.0364,3.28e-05,0.106,0.15,113.265,205280,4
47,Beyoncé,I AM...SASHA FIERCE,Halo,73,2CvOqDpQIMw69cCzWqr5yr,0.422,0.712,11,-5.907,0,0.1,0.0,0.051,0.471,78.454,261160,4
48,Billie Eilish,Six Feet Under,Six Feet Under,74,2VlLbhGLVJgdOW7kKdWWFc,0.576,0.307,11,-12.732,0,0.0428,0.000355,0.0792,0.157,67.513,189613,4
49,The Script,The Script,The Man Who Can't Be Moved,74,3nqqDo8CcCLke3ZoTgiOKf,0.605,0.629,10,-5.051,1,0.0279,0.0,0.097,0.308,99.894,241373,4
50,Tom Odell,Long Way Down (Deluxe),Heal,74,4KlL5Bwlm4yHYxr0B2rHci,0.445,0.179,1,-12.938,1,0.0396,0.00056,0.107,0.119,72.246,193080,4
51,Evanescence,Fallen,My Immortal,74,4UzVcXufOhGUwF56HT7b8M,0.19,0.265,9,-9.206,1,0.0356,0.0,0.134,0.101,79.012,262533,4
52,James TW,Chapters,When You Love Someone,73,0TXNKTzawI6VgLoA9UauRp,0.681,0.453,7,-6.09,1,0.0278,0.0,0.0543,0.348,125.772,216560,4
53,Lewis Capaldi,Before You Go,Before You Go,73,7ce20yLkzuXXLUhzIDoZih,0.459,0.575,3,-4.858,1,0.0573,0.0,0.0885,0.183,111.881,215107,4
54,Sam Smith,How Do You Sleep?,How Do You Sleep?,74,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.0,0.0763,0.345,110.567,202205,5
55,X Ambassadors,VHS,Unsteady,73,7lGKEWMXVWWTt3X71Bv44I,0.389,0.665,0,-6.169,1,0.0644,0.000732,0.116,0.199,117.055,193547,4
56,Coldplay,Parachutes,Trouble,73,0R8P9KfGJCDULmlEoBagcO,0.565,0.546,11,-7.496,0,0.0314,0.0015,0.17,0.195,139.757,273427,4
57,The Fray,The Fray,You Found Me,73,4IoYz8XqqdowINzfRrFnhi,0.338,0.803,8,-5.412,0,0.0413,0.0,0.136,0.4,151.994,241853,4
58,Celeste,Not Your Muse (Deluxe),Strange,73,7sq2z9oX2S0CvgTqCZ0ko4,0.286,0.0847,2,-9.883,1,0.0397,6.94e-06,0.121,0.112,70.743,255987,4
59,Halsey,hopeless fountain kingdom (Deluxe),Sorry,72,44n97yHySt0Z9rqPaXgjCK,0.513,0.25,5,-9.376,0,0.0367,0.0,0.117,0.351,74.103,220541,4
60,Lewis Capaldi,Breach,Someone You Loved,73,2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,1,-5.679,1,0.0319,0.0,0.105,0.446,109.891,182161,4
61,Gracie Abrams,minor,"I miss you, I’m sorry",72,4nyF5lmSziBAt7ESAUjpbx,0.445,0.455,7,-6.405,1,0.0575,1.47e-06,0.124,0.151,109.885,167538,5
62,Ruth B.,Lost Boy,Lost Boy,72,4h0zU3O9R5xzuTmNO7dNDU,0.71,0.0565,7,-15.099,1,0.0534,0.0,0.0889,0.348,123.994,275280,4
63,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),Make It To Me,72,2uCMaUojwuqr8CRGsLoPa6,0.456,0.379,1,-8.573,1,0.0685,3.1e-06,0.0983,0.225,149.967,162732,4
64,Bon Iver,"For Emma, Forever Ago",Skinny Love,72,3B3eOgLJSqPEA0RfboIQVM,0.592,0.263,4,-14.029,0,0.0568,5.68e-06,0.127,0.109,76.366,238520,4
65,The 1975,A Brief Inquiry Into Online Relationships,Be My Mistake,72,18UsAG7SfOQ5sxJEdjAMH0,0.572,0.155,6,-14.405,1,0.0344,0.000137,0.0906,0.0949,109.923,256689,3
66,NF,Mansion,Paralyzed,72,5DHQKZCOZhGNTbYBCekWx0,0.51,0.643,0,-6.602,1,0.0485,3.22e-06,0.101,0.0397,130.081,270453,4
67,James Arthur,Naked,Naked,72,7krbSH3rd8lhIZvuzTV3Bl,0.529,0.607,6,-6.781,1,0.0574,0.0,0.0631,0.238,101.966,234107,4
68,Taylor Swift,Lover,The Archer,71,3pHkh7d0lzM2AldUtz2x37,0.292,0.574,0,-9.375,1,0.0401,0.00569,0.0663,0.166,124.344,211240,4
69,Birdy,Birdy,Skinny Love,71,4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.00106,0.118,0.169,166.467,201080,4
70,Joel Adams,Please Don't Go,Please Don't Go,70,3cNjgVBKTJ1SvKhunrCdVy,0.513,0.768,4,-4.868,0,0.0587,1.94e-05,0.294,0.235,84.264,210580,4
71,The Fray,How To Save A Life,Look After You,70,5l6hpyTGBK0LAAxgPnqTQL,0.447,0.592,6,-3.015,0,0.0319,4.47e-06,0.13,0.283,78.039,266773,4
72,Clinton Kane,i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,70,58qX77t2VWMWcycsh9zKLc,0.535,0.359,2,-9.343,1,0.0607,0.0,0.111,0.488,154.163,184505,4
73,Olivia O'Brien,Complicated,Complicated,70,0jllH0usRFD4LJkJnGK9Lf,0.657,0.355,7,-12.044,1,0.0714,0.000427,0.123,0.0808,74.99,189000,4
74,James Bay,Chaos And The Calm,Let It Go,72,3nnG7AM9QopHVPEuLX3Khk,0.536,0.311,1,-10.396,1,0.0288,1.65e-05,0.107,0.246,147.486,260533,4
75,Rascal Flatts,Me And My Gang,What Hurts The Most,69,4bVuIlGQBMWS7vIhcx8Ae4,0.537,0.674,5,-5.134,0,0.0277,0.0,0.265,0.33,136.002,214107,4
76,Clean Bandit,What Is Love? (Deluxe Edition),I Miss You (feat. Julia Michaels),69,0Ult84lvFuqNvbyXwyRQ58,0.693,0.624,0,-7.482,0,0.0448,7.64e-06,0.0955,0.369,105.002,205987,4
77,Various Artists,Fifty Shades Darker (Original Motion Picture Soundtrack),Helium,69,4S6fv0puLCsfYjyBTPDb9k,0.42,0.396,4,-6.678,1,0.0296,0.0,0.0708,0.132,136.849,252320,4
78,Noah Cyrus,THE END OF EVERYTHING,Lonely,69,6U1iuA5QfzYRPJxvdcxqtf,0.53,0.281,5,-8.274,1,0.0577,0.0,0.0928,0.341,122.442,144377,4
79,SYML,Hurt for Me,Where’s My Love - Alternate Version,69,5IH7HQEWhToZnMQTZRzp1H,0.382,0.219,0,-11.805,0,0.0318,0.0196,0.108,0.161,103.768,248333,4
80,Ber,Meant To Be,Meant To Be,69,0wxGIpOZbDR4RGy1sh3XhR,0.5,0.156,1,-11.472,1,0.0469,0.0,0.125,0.405,173.794,163227,4
81,Bazzi,COSMIC,Why,69,7lozLnUfzcgEpMMVQI7yhA,0.676,0.67,8,-6.584,1,0.0374,0.0,0.103,0.54,113.01,148260,4
82,Tate McRae,chaotic,chaotic,69,2bdqU7C4softKNcMYDFi96,0.412,0.382,2,-7.023,0,0.0497,0.0,0.0931,0.318,81.493,178721,3
83,Sam Smith,In The Lonely Hour,Lay Me Down,69,74sb4Gib0cL3TQeCjYF8vh,0.417,0.332,4,-9.482,1,0.0494,1.95e-05,0.109,0.172,119.156,253208,4
84,James TW,Chapters,You & Me,69,1bQhZOoXYqjXs7u7rFXo0h,0.714,0.686,11,-6.333,1,0.0445,7.76e-06,0.102,0.828,127.015,231653,4
85,Niall Horan,Flicker (Deluxe),Too Much To Ask,69,39jXnbACjiaiTwwhsr5sY5,0.443,0.533,0,-6.548,1,0.0396,0.0,0.128,0.201,77.344,223044,4
86,Labrinth,Electronic Earth (Expanded Edition),Beneath Your Beautiful (feat. Emeli Sandé),68,2EcsgXlxz99UMDSPg5T8RF,0.561,0.522,2,-5.857,1,0.0318,0.0,0.104,0.238,83.962,271813,4
87,The Cinematic Orchestra,Ma Fleur,To Build A Home,74,54KFQB6N4pn926IUUYZGzK,0.264,0.122,9,-15.399,1,0.0349,0.349,0.094,0.0735,148.658,371320,4
88,Air Supply,Lost in Love,All Out of Love,68,7dQC53NiYOY9gKg3Qsu2Bs,0.513,0.262,0,-16.875,1,0.0276,5.51e-06,0.456,0.357,108.383,243000,4
89,Lana Del Rey,Norman Fucking Rockwell!,hope is a dangerous thing for a woman like me to have - but I have it,68,0fB77VOZ2FkQeKLv1DuEwp,0.49,0.104,4,-13.208,0,0.0635,0.0,0.162,0.278,86.675,324499,4
90,Victoria Nadine,Nerve,Nerve,68,3jsYKVxT5ljGkexU531DpF,0.541,0.459,1,-8.991,1,0.0757,0.0,0.176,0.459,155.727,178973,4
91,James Blunt,Back to Bedlam,Goodbye My Lover,68,6gxycjJNMgmAyfzUXBN80P,0.432,0.261,4,-12.591,1,0.0512,0.00342,0.0903,0.273,89.567,258653,4
92,Ruben,Melancholic,Lay By Me,68,5xQ1yxKzTuPcSNO9FP0lNS,0.461,0.195,10,-7.301,1,0.0352,0.0,0.11,0.381,110.193,170831,4
93,Jessie Murph,I Would've,I Would've,67,54obxWf8kRI8TGtbX52YyJ,0.601,0.264,2,-9.559,1,0.0573,4.86e-05,0.173,0.285,149.926,150583,4
94,The Fray,The Fray,Never Say Never,67,57uX2vR9j9DNiANDYfXw1i,0.23,0.492,8,-5.767,1,0.0317,8.18e-06,0.176,0.262,160.139,256613,4
95,Kodaline,In A Perfect World (Expanded Edition),High Hopes,67,6KkyuDhrEhR5nJVKtv9mCf,0.488,0.487,4,-6.371,1,0.0305,0.0,0.193,0.219,77.278,230267,4
96,James Arthur,Say You Won't Let Go,Say You Won't Let Go,67,1Pw5C4N6Fn5E4mGCxmbbVa,0.4,0.564,10,-7.444,1,0.0523,0.0,0.0863,0.483,99.269,211240,4
97,Various Artists,Me Before You (Original Motion Picture Soundtrack),Not Today,67,4kDTvLhGF29gFsqceuxBSC,0.462,0.387,0,-7.401,1,0.0292,0.0,0.164,0.0428,122.698,261080,4
98,We The Kings,Somewhere Somehow,Sad Song (feat. Elena Coats),67,05CrK6Q5VGtfPDtyQFJ4Kf,0.512,0.526,1,-5.44,1,0.0251,0.0,0.0675,0.249,85.024,226330,4
99,shy martin,Sad Songs,Are you happy?,67,6s86N7LVaJZuU4alwKp6XO,0.632,0.578,9,-7.657,0,0.0905,0.0,0.42,0.297,139.324,157556,4
